codigo_cliente;loja_cliente;nome_do_cliente;cnpj_do_cliente;cnpj_de_faturamento;cnpj_de_remessa;equipamento;nota_de_remessa;data_de_remessa;serie_da_nf_remessa;produto;descricao_do_produto;quantidade;pedido_de_remessa;projeto;obra;prazo_do_contrato;data_de_ativacao_legado;data_de_ativacao;ultimo_faturamento;data_do_termo;aniversario;desc_ajuste;indice_aplicado;dias_de_locacao;valor_de_origem;valor_unitario;valor_bruto;tipo_do_mes;contrato_legado;acrescimo;franquia;id_equipamento;id_equip_substituido;data_da_substituicao;data_proximo_faturamento;data_fim_locacao;tipo_de_servico;email;calculo_reajuste;nome_da_obra;numero_da_as;pedido_faturamento;nf_de_faturamento;serie_de_faturamento;data_de_faturamento;qtde_faturamento;vlr_unitario_faturamento;vlr_total_faturamento;periodo_de_faturamento;status_de_cobranca
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;21490106001758.0;78545;20240109  37789;NULL;NULL;PC0126;DESKTOP DELL OPTIPLEX 3070 MICRO CORE I5 08GB HD SSD 128;1;NULL;202300682;1;36;27/04/2021;27/12/2023;26/02/2024;NULL;01/03/2024;IGPM;0;30;0;208,61;208,61;0=Mes fechado;090793/01;0;0;1;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15567;NULL;NULL;NULL;1;208,61;208,61;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;NULL;78546;20240109  37789;NULL;NULL;PC0126;DESKTOP DELL OPTIPLEX 3070 MICRO CORE I5 08GB HD SSD 128;1;NULL;202300682;1;36;27/04/2021;27/12/2023;26/02/2024;NULL;01/03/2024;IGPM;0;30;0;208,61;208,61;0=Mes fechado;090793/01;0;0;2;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15567;NULL;NULL;NULL;1;208,61;208,61;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;21490106000433.0;81388;20240109  37787;NULL;NULL;PC0126;DESKTOP DELL OPTIPLEX 3070 MICRO CORE I5 08GB HD SSD 128;1;NULL;202300682;1;36;27/04/2021;27/12/2023;26/02/2024;NULL;01/03/2024;IGPM;0;30;0;208,61;208,61;0=Mes fechado;090793/01;0;0;3;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15566;NULL;NULL;NULL;1;208,61;208,61;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;21490106001243.0;102486;20240109  39461;NULL;NULL;PC1272;NOTEBOOK LENOVO THINK PAD E14 CORE I5 16GB SSD 128;1;NULL;202300682;2;36;21/05/2021;27/12/2023;26/02/2024;NULL;01/04/2024;IGPM;0;30;0;228,66;228,66;0=Mes fechado;090793/02;0;0;1;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A.;3,00068E+14;15568;NULL;NULL;NULL;1;228,66;228,66;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;21490106000190.0;92636;20240109  44598;NULL;NULL;PC0555;DESKTOP LENOVO M720Q TINY CORE I5 8GB SSD 128;1;NULL;202300682;3;36;06/09/2021;27/12/2023;26/02/2024;NULL;01/08/2024;IGPM;0;30;0;214,08;214,08;0=Mes fechado;090793/03;0;0;1;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15569;NULL;NULL;NULL;1;214,08;214,08;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;NULL;121538;20240109  44598;NULL;NULL;PC1224;NOTEBOOK LENOVO E14 CORE I5 8GB SSD 128;1;NULL;202300682;3;36;06/09/2021;27/12/2023;26/02/2024;NULL;01/08/2024;IGPM;0;30;0;279,62;279,62;0=Mes fechado;090793/03;0;0;2;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15569;NULL;NULL;NULL;1;279,62;279,62;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;NULL;121539;20240109  44598;NULL;NULL;PC1224;NOTEBOOK LENOVO E14 CORE I5 8GB SSD 128;1;NULL;202300682;3;36;06/09/2021;27/12/2023;26/02/2024;NULL;01/08/2024;IGPM;0;30;0;279,62;279,62;0=Mes fechado;090793/03;0;0;3;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15569;NULL;NULL;NULL;1;279,62;279,62;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;21490106000190.0;131282;20240109  51353;NULL;NULL;PC1309;NOTEBOOK LENOVO THINKPAD E14 GEN2 R5 08GB SSD 128GB WINDOWS 10 PRO;1;NULL;202300682;4;36;12/01/2022;27/12/2023;26/02/2024;NULL;01/12/2024;IGPM;0;30;0;274,44;274,44;0=Mes fechado;090793/04;0;0;1;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15570;NULL;NULL;NULL;1;274,44;274,44;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;NULL;134284;20240109  52070;NULL;NULL;PC2100;NOTEBOOK LENOVO V15 G2 CORE I5 1135G7 MEMORIA 08GB DDR4 SSD 128GB TELA LED 15.6;1;NULL;202300682;4;36;27/01/2022;27/12/2023;26/02/2024;NULL;01/12/2024;IGPM;0;30;0;318,52;318,52;0=Mes fechado;090793/04;0;0;2;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15570;NULL;NULL;NULL;1;318,52;318,52;27/01/2024 A 26/02/2024;Faturado
313;1;IDEAL AGRO S.A;2,14901E+13;2,14901E+13;21490106000190.0;149078;20240109  60990;NULL;NULL;PC1858;NOTEBOOK DELL VOSTRO 3510 1035G1 CORE I5 MEMORIA 08GB SSD256 WIND 10 PRO;1;NULL;202300682;5;36;05/07/2022;27/12/2023;26/02/2024;NULL;01/04/2024;IGPM;0;30;0;292,52;292,52;0=Mes fechado;090793/05;0;0;1;NULL;NULL;26/03/2024;03/12/2023;Localcao;fiscal@excelenciamt.com.br;NULL;IDEAL AGRO S.A;3,00068E+14;15571;NULL;NULL;NULL;1;292,52;292,52;27/01/2024 A 26/02/2024;Faturado
